carname,starttime,endtime,startlat,startlon,endlat,endlon,timeintrip,dist,year,week,h3_O,h3_D,Month,Date,Year,Hour
LoNzjsZZylTycWtJf0obLtvbi1E,2022-01-03 07:27:42,2022-01-03 07:47:54,13.817497148009911,100.58035340625756,13.81515768455932,100.61040708649124,1212.0,4032.0,2022,157,8864a4bb5bfffff,8864a485b5fffff,1,2022-01-03,2022,7
ELjngWcZcIAOE8qHaBiLWbdrknU,2022-01-03 07:09:38,2022-01-03 07:16:38,13.693653909359766,100.47051595961254,13.7076075815014,100.4689812667141,420.0,2036.0,2022,157,8864a4b003fffff,8864a4b03dfffff,1,2022-01-03,2022,7
p/5O3grCrnPGKCsLjM6tIhAVT8k,2022-01-03 07:14:23,2022-01-03 07:19:36,13.83632692270524,100.66474408470228,13.82440339739156,100.6773911129898,313.0,2450.0,2022,157,8864a48e89fffff,8864a48ec1fffff,1,2022-01-03,2022,7
KnScXtbvQ0lRj/04+wQ3fO0qtMA,2022-01-03 07:18:20,2022-01-03 07:52:20,13.80264255819556,100.55356863761234,13.763335280015992,100.49897449415234,2040.0,11413.0,2022,157,8864a4ba07fffff,8864a4b131fffff,1,2022-01-03,2022,7
hbQwRyA2KnG+5s9SQQopjofBNWY,2022-01-03 07:00:30,2022-01-03 07:10:10,13.743910733949535,100.51474218348385,13.761829844926323,100.525720439721,580.0,2968.0,2022,157,8864a4b101fffff,8864a4b129fffff,1,2022-01-03,2022,7
hbQwRyA2KnG+5s9SQQopjofBNWY,2022-01-03 07:18:10,2022-01-03 07:36:10,13.777825560948518,100.52630917875612,13.764335877072396,100.52673378190394,1080.0,3436.0,2022,157,8864a4b125fffff,8864a4b121fffff,1,2022-01-03,2022,7
tO96WnPLbENflVbinKPtC8Mg4JU,2022-01-03 07:38:04,2022-01-03 07:45:04,13.749040879273446,100.51667479178826,13.740803580680383,100.51588987900936,420.0,890.0,2022,157,8864a4b101fffff,8864a4b101fffff,1,2022-01-03,2022,7
kemNkIEJ0nvZ85Pi/SuK+xT24ME,2022-01-03 07:24:52,2022-01-03 07:37:52,13.706639225465585,100.49121325011303,13.678413619666037,100.52993354136268,780.0,5854.0,2022,157,8864a4b029fffff,8864a4b31dfffff,1,2022-01-03,2022,7
kemNkIEJ0nvZ85Pi/SuK+xT24ME,2022-01-03 07:55:52,2022-01-03 09:12:52,13.757768948422484,100.53509854494904,13.739277356046912,100.60440158212032,4620.0,8175.0,2022,157,8864a4b167fffff,8864a484ebfffff,1,2022-01-03,2022,7
UL97sMEVNmP4GWFs1Fngqr2f4vE,2022-01-03 07:36:53,2022-01-03 07:42:53,13.780010157410963,100.50828110048072,13.779580927201064,100.52219499339658,360.0,1880.0,2022,157,8864a4bac9fffff,8864a4b127fffff,1,2022-01-03,2022,7
