,startlat,startlon,timeintrip,easting,northing,zone_number,zone_letter
31942,13.7870389851154,100.468304032958,1250,658723.7270607153,1524658.8379441714,47,P
31952,13.7493085331048,100.467193184441,1533,658629.0641769047,1520484.1612744108,47,P
31956,13.7622244884231,100.472293255621,2705,659171.8462781473,1521916.3577322322,47,P
31959,13.7836220975668,100.472239833066,1956,659151.5856025519,1524283.4453642333,47,P
31960,13.7714594757037,100.480253232687,360,660026.2994668201,1522943.2634660152,47,P
31973,13.7786921373851,100.476956302544,2198,659664.8942114894,1523741.191997948,47,P
31977,13.7551968729397,100.483590168692,1522,660398.2042323432,1521146.4187524389,47,P
31996,13.7784356881749,100.477194873786,1200,659690.8640636492,1523712.9805083151,47,P
32007,13.7793156129279,100.476376291653,3839,659601.7569213075,1523809.7794424987,47,P
32019,13.757309756818,100.469273465387,3036,658848.6251661738,1521370.6693552407,47,P
32029,13.7785794406107,100.476959202574,419,659665.28433824,1523728.7267483666,47,P
32056,13.7713337094247,100.483798965904,1713,660409.781603439,1522931.7117148442,47,P
32072,13.7648421594531,100.473125956438,360,659260.1167580367,1522206.4897152057,47,P
32075,13.7517109353411,100.483668156491,533,660409.0122101353,1520760.8356105192,47,P
32078,13.7800956699687,100.475445989785,1676,659500.6385615399,1523895.4565616304,47,P
32080,13.7561033719643,100.484800196375,1181,660528.434315169,1521247.5072288688,47,P
32091,13.7784483767891,100.477081075185,5958,659678.550911565,1523714.3086277572,47,P
32148,13.7598633331477,100.479071852427,1140,659906.4399621313,1521659.6451575393,47,P
32167,13.7527597836008,100.480332872872,360,660047.6284516624,1520874.6470995315,47,P
32172,13.7549439617,100.46610108636,1139,658507.1733384745,1521106.8626687499,47,P
32173,13.7804604730305,100.475104755955,430,659463.4952243895,1523935.586842122,47,P
32178,13.7784537396901,100.477076088372,395,659678.0080664204,1523714.8985917808,47,P
32186,13.763603271909,100.482201710311,649,660242.3379965331,1522075.4601177725,47,P
32187,13.7783743267721,100.47714993224,820,659686.0464263014,1523706.1625066553,47,P
32188,13.7784480007009,100.477081424899,540,659678.5889800768,1523714.2672549065,47,P
32189,13.7784034954731,100.477122809075,2546,659683.0939021036,1523709.371307478,47,P
32191,13.7768443392136,100.478495200966,600,659832.544762989,1523537.8000096737,47,P
32193,13.7869927354133,100.467136160138,420,658597.4865513227,1524652.9505165566,47,P
32210,13.7781232247551,100.477588675372,2088,659733.656419947,1523678.675525843,47,P
32226,13.7546305572191,100.477908960316,720,659784.2433790116,1521079.993669849,47,P
32230,13.7564615755828,100.469297709826,600,658851.8191624641,1521276.8550287557,47,P
32252,13.7597070162428,100.482252012016,480,660250.4304285765,1521644.466688257,47,P
32257,13.7839082351513,100.471482062047,360,659069.4594742614,1524314.5979367802,47,P
32258,13.7870198641314,100.468397692971,1680,658733.8666125295,1524656.7845363521,47,P
32261,13.7607395723154,100.476320634521,960,659608.3453171924,1521754.7542954413,47,P
32268,13.7528205319957,100.480332105323,2262,660047.5041636239,1520881.3669277157,47,P
32278,13.7578733210117,100.463515863813,1173,658225.6494886108,1521429.223487734,47,P
32293,13.7673842299144,100.484807748052,660,660521.5558442862,1522495.4689833894,47,P
32294,13.7727344460632,100.467416550672,3538,658637.4271755752,1523075.806236856,47,P
32309,13.7858750370735,100.47024099999,1779,658933.9418297494,1524531.355630471,47,P
32310,13.7493221912572,100.483978230871,2820,660444.1702949528,1520496.7850791349,47,P
32334,13.7786894289161,100.476856927501,2355,659654.1510870678,1523740.8263894466,47,P
32335,13.7784149734516,100.477112136021,1686,659681.9320743895,1523710.633981088,47,P
32339,13.7760822053558,100.479214141465,1200,659910.799612368,1523453.9661747261,47,P
32346,13.7632129416258,100.473149830875,840,659263.8011319175,1522026.2723982094,47,P
32373,13.7790263587527,100.476543625797,780,659620.0463932148,1523777.891536372,47,P
32377,13.7638310014549,100.482898549503,720,660317.5338444167,1522101.116901389,47,P
32380,13.7870321579178,100.46672287634,452,658552.7752305435,1524657.038946101,47,P
32385,13.7664916253049,100.48725159162,361,660786.4211561603,1522398.3549601426,47,P
32389,13.7663008098158,100.483693024991,582,660401.7585847569,1522374.8712466161,47,P
32401,13.7870190916925,100.468401583841,1289,658734.2878199919,1524656.7016548382,47,P
32410,13.7532479579346,100.486229396615,1992,660684.9311878539,1520932.5770867162,47,P
32411,13.7553785818931,100.469394077658,1554,658862.9706934225,1521157.112075303,47,P
32418,13.7781129033586,100.477303756356,1817,659702.8563749319,1523677.3444734637,47,P
32453,13.7783111425511,100.4773107369,874,659703.4764502208,1523699.2794887084,47,P
32456,13.745608223656,100.47646940652,657,659634.6899107059,1520080.938341145,47,P
32461,13.7809093,100.4701279,360,658925.0722208011,1523981.9433195612,47,P
32462,13.7869946385698,100.466586683227,540,658538.0752064826,1524652.798501714,47,P
32472,13.7768743639086,100.478550196787,720,659838.4708411673,1523541.158069363,47,P
32481,13.7783349060235,100.477186588501,1375,659690.0366880796,1523701.8258953642,47,P
32483,13.7871389403314,100.466691874399,1077,658549.3511860885,1524668.8313457698,47,P
32487,13.7611155706966,100.47132697485,1620,659068.1092476395,1521793.0445545996,47,P
32525,13.7784598547676,100.477070402131,2603,659677.3890842837,1523715.5713015294,47,P
32533,13.7807008876255,100.474880242253,3953,659439.0566797906,1523962.0339958824,47,P
32544,13.7811440522486,100.474282984628,652,659374.1780206624,1524010.6634214998,47,P
32548,13.7586237086254,100.48290834626,660,660322.1405948297,1521525.061669155,47,P
32552,13.7869746763399,100.46651422146,420,658530.2540331802,1524650.542369999,47,P
32553,13.7871827659829,100.466843416109,420,658565.706448485,1524673.7795625955,47,P
32567,13.7623804754416,100.468653632511,2040,658778.17883058,1521931.2104434308,47,P
