,startlat,startlon,timeintrip,easting,northing,zone_number,zone_letter
31415,13.7787346491585,100.476916754414,1920,659660.5891753992,1523745.8686392494,47,P
31416,13.7724649384949,100.481116768301,480,660118.9879457173,1523055.0683105597,47,P
31417,13.7783272246082,100.47729577598,660,659701.847864681,1523701.0486439685,47,P
31418,13.7784023672085,100.477123858217,1560,659683.2081076849,1523709.24718894,47,P
31419,13.7772439086906,100.47820454986,1681,659800.846092702,1523581.8095869776,47,P
31424,13.7597497842036,100.481411676928,6176,660159.532254313,1521648.6388244515,47,P
31429,13.7803952716216,100.475165644977,660,659470.123064772,1523928.4142704033,47,P
31447,13.7849169624898,100.471133518197,2700,659031.0911116604,1524425.9584085424,47,P
31450,13.7680408928898,100.485091036795,1200,660551.7399110815,1522568.302030578,47,P
31452,13.7785947689019,100.477046883131,5124,659674.7544229313,1523730.480673947,47,P
31455,13.7522506229761,100.480339306055,572,660048.6701619971,1520818.325087114,47,P
31462,13.7641871291169,100.473643415143,600,659316.5139406401,1522134.3690470213,47,P
31463,13.7870539211399,100.468236300792,1217,658716.393687483,1524660.445515976,47,P
31465,13.7787204780581,100.476828055766,627,659651.0082285103,1523744.2420575812,47,P
31473,13.7556603521528,100.478865199843,421,659886.9484712909,1521194.5500090045,47,P
31476,13.778574829886,100.476963489959,1440,659665.7510458686,1523728.2195298525,47,P
31496,13.755022754725,100.483472215324,3175,660385.5677798134,1521127.0782174594,47,P
31507,13.7784165754707,100.477110646348,789,659681.769914306,1523710.810216588,47,P
31520,13.7693934604844,100.484784380676,420,660517.6579115209,1522717.7267419386,47,P
31527,13.7784491289655,100.477080375757,680,659678.4747745417,1523714.3913734602,47,P
31544,13.7596207188969,100.470244158347,420,658952.0304126444,1521626.9608637427,47,P
31545,13.7827211061984,100.472761758345,539,659208.628226183,1524184.1181929174,47,P
31554,13.781157546643,100.474297794434,540,659375.7701657158,1524012.166066299,47,P
31555,13.7701281125304,100.484716496473,480,660509.8162041397,1522798.9531555413,47,P
31561,13.7870413360247,100.46829337201,550,658722.5727979721,1524659.0909735865,47,P
31565,13.773027079448,100.482093263811,2160,660224.1918373491,1523117.9058812414,47,P
31572,13.7711982270406,100.483658293023,359,660394.6631849876,1522916.6300424347,47,P
31605,13.7548446409107,100.470360503772,540,658967.8364575057,1521098.6822901822,47,P
31607,13.7802085208694,100.475439190057,656,659499.8267492955,1523907.9362702274,47,P
31611,13.7818293294302,100.473916873909,2130,659334.127944501,1524086.2300450206,47,P
31612,13.7550553211765,100.469135704706,840,658835.2494104917,1521121.180866351,47,P
31620,13.7707486155148,100.483917825694,3060,660423.0329407129,1522867.06431819,47,P
31635,13.7775565207582,100.477825631843,480,659759.6626900316,1523616.1408138152,47,P
31636,13.7670712905381,100.484229375919,541,660459.2294032248,1522460.464021124,47,P
31638,13.7784637133159,100.477066814174,1732,659676.9985132203,1523715.9957741704,47,P
31652,13.7810461,100.4730381,2001,659239.6423561441,1523999.002506476,47,P
31657,13.7473468766626,100.466670678379,1200,658573.8816636378,1520266.8088727677,47,P
31658,13.7783302952988,100.477190875886,3381,659690.5033966615,1523701.3186772047,47,P
31666,13.7841914066509,100.471592305472,420,659081.1875509084,1524345.9969240178,47,P
31668,13.7469186377437,100.478036719397,1323,659803.2912643667,1520226.9422915631,47,P
31676,13.7635234639437,100.489315470703,360,661011.6227951414,1522071.3781120318,47,P
31677,13.7637500759261,100.482728359997,1199,660299.1859645968,1522092.051096183,47,P
31686,13.7649439088172,100.468063132321,333,658712.5974525013,1522214.4017024455,47,P
31707,13.7869231063248,100.466815064866,480,658562.8163733354,1524645.0358871,47,P
31708,13.7784165754707,100.477110646348,480,659681.769914306,1523710.810216588,47,P
31713,13.778351370815,100.477171278348,721,659688.3700826325,1523703.6371597592,47,P
31720,13.7778041960597,100.477311118442,1620,659703.8621637824,1523643.1983558924,47,P
31724,13.7868582268419,100.467242266817,1739,658609.0497554652,1524638.140467875,47,P
31730,13.7708146425308,100.479814771357,540,659979.3278265148,1522871.636613847,47,P
31731,13.7808850376523,100.474802953884,1620,659430.5749863174,1523982.3544806521,47,P
31732,13.7540107469682,100.461082292705,720,657965.0884975176,1521000.3288530614,47,P
31768,13.7770027988036,100.478086164189,1621,659788.2094157849,1523555.057931827,47,P
31781,13.7785223291397,100.477012308946,6286,659671.0652873381,1523722.4440064614,47,P
31784,13.7873914012752,100.468644841861,480,658760.3375099829,1524698.0492915257,47,P
31790,13.7553405188119,100.483575188119,453,660396.4864265341,1521162.2997358383,47,P
31798,13.7600660122928,100.470444615866,1500,658973.4058915784,1521676.3539566805,47,P
31801,13.7549815651623,100.468748439116,960,658793.4218368796,1521112.7662475023,47,P
31804,13.7626090958868,100.472931701866,3180,659240.6229736741,1521959.3273427947,47,P
31813,13.7785173483131,100.477118906461,2697,659682.594577255,1523721.963782484,47,P
31814,13.7550664815293,100.46915117703,2372,658836.9149955186,1521122.425686582,47,P
31821,13.7819352867727,100.473436423165,900,659282.1079603939,1524097.6332788079,47,P
31840,13.7561696309192,100.486370461157,2473,660698.1914769994,1521255.8843499937,47,P
31845,13.7869744153045,100.466513273916,894,658530.1517598472,1524650.5128677883,47,P
31846,13.7695997453993,100.469138195481,1141,658825.7018783647,1522730.1646079726,47,P
31858,13.7837032968505,100.472163875382,1680,659143.3178343801,1524292.3777999987,47,P
31859,13.7653823408222,100.487835795115,1580,660850.3503868773,1522276.0293839285,47,P
31860,13.7786507603439,100.476892884334,840,659658.0652014464,1523736.5725199948,47,P
31873,13.7753255323168,100.480255845217,3267,660023.9506885547,1523370.9513558531,47,P
31885,13.7707690500925,100.482908608363,835,660313.8930270267,1522868.6522289857,47,P
31896,13.7652654337028,100.472764985049,1843,659220.7978966287,1522253.0758486732,47,P
31902,13.7797941668723,100.475349560752,2160,659490.4168243486,1523862.0385806635,47,P
31908,13.7698710855981,100.468989737191,780,658809.4659769995,1522760.0837410223,47,P
31914,13.7777441037442,100.477649670244,1264,659740.5091928246,1523636.7754533426,47,P
31932,13.7786814582874,100.477060989418,1260,659676.2207752913,1523740.0801273086,47,P
31937,13.7570222962219,100.483332836889,840,660369.1338295192,1521348.1865585889,47,P
31940,13.786849515124,100.466552769551,1800,658534.5063734332,1524636.7217833428,47,P
31941,13.759857121614,100.480030645504,601,660010.1224678236,1521659.5949470678,47,P
